,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_MeanEdge_pGSK3b_cell,0.8351800578966895,0.919876555388051,0.999894654076628,0.9181776379885641
Int_Med_cFos_cell,0.8355133281725354,0.9108111040085053,0.9993699311406201,0.8882815669354173
Int_MeanEdge_pAKT_cell,0.8383713649348014,0.9412682764066012,0.9998115701511568,0.9100917381035207
Int_Med_pGSK3b_nuc,0.8389421339759539,0.8933198831983934,0.9996693557635714,0.9322339653287272
Int_MeanEdge_cFos_cell,0.8402087281892258,0.9192044528749902,0.9997456994192682,0.8948780961298048
Int_MeanEdge_PCNA_cell,0.8405640451158228,0.9279162205436144,0.9999148526930407,0.8822035743998873
Int_MeanEdge_CDK4_cell,0.8409933658339228,0.9290453550662371,0.9998281980580873,0.904254714680862
Int_Med_Cdh1_ring,0.8443236047980853,0.9049912197782395,0.9997505802297356,0.9137162261037218
Int_Med_Cdh1_cyto,0.8443236047980853,0.9049912197782395,0.9997505802297356,0.9137162261037218
Int_Med_p14ARF_cell,0.8462502022147,0.9325196050126399,0.9997549370695851,0.9051822035753231
Int_Med_GSK3b_ring,0.847162050124873,0.9319259447003169,0.9997692973892371,0.9366949074839854
Int_Med_GSK3b_cyto,0.847162050124873,0.9319259447003169,0.9997692973892371,0.9366949074839854
Int_Med_cFos_ring,0.8474600169355239,0.9185102474300806,0.9994388898489633,0.9176687290341243
Int_Med_cFos_cyto,0.8474600169355239,0.9185102474300806,0.9994388898489633,0.9176687290341243
Int_Med_cJun_cell,0.8504141506105907,0.9458507801617753,0.9998906686451701,0.9223176509416798
